dest_ip,dest_port,metadata_comment
45.74.31.42,8336,socks5
45.74.31.22,10056,socks5
45.74.31.22,8296,socks5
103.188.168.67,1080,http
89.250.148.158,1080,socks4
45.74.31.42,8312,socks5
45.74.31.23,4193,socks5
91.133.5.158,1080,socks5
45.174.253.11,999,http
45.74.31.42,4126,socks5
81.12.157.98,5678,socks4
116.204.166.43,8080,http
45.74.31.42,28543,socks5
210.211.113.35,80,http
80.82.55.71,80,http
45.74.31.42,8284,socks5
45.74.31.40,4080,socks5
45.74.31.22,5884,socks5
83.56.15.57,5678,socks4
45.74.31.22,10107,socks5
45.74.31.22,4632,socks5
45.74.31.23,6441,socks5
202.59.75.4,8080,http
45.74.31.22,13448,socks5
45.74.31.42,10033,socks5
45.74.31.23,13134,socks5
45.74.31.22,5915,socks5
45.74.31.42,8522,socks5
45.74.31.23,12823,socks5
45.74.31.22,6877,socks5
45.74.31.22,6177,socks5
174.138.162.38,36132,socks5
45.74.31.42,8724,socks5
45.74.31.23,6669,socks5
45.74.31.42,7856,socks5
45.74.31.22,4015,socks5
45.74.31.23,5510,socks5
45.74.31.42,4580,socks5
45.74.31.42,9920,socks5
180.190.24.218,8080,http
45.74.31.42,6623,socks5
45.74.31.42,8970,socks5
193.227.129.195,20016,http
45.74.31.42,8435,socks5
45.74.31.23,14291,socks5
45.74.31.42,4167,socks5
45.74.31.23,14320,socks5
45.74.31.42,9168,socks5
45.74.31.22,10307,socks5
45.74.31.23,10299,socks5
45.74.31.40,11745,socks5
103.191.171.70,8181,http
45.74.31.22,13958,socks5
174.138.162.238,8254,http
45.74.31.23,11831,socks5
45.74.31.22,8534,socks5
49.149.219.87,8081,http
45.74.31.22,8317,socks5
45.74.31.23,4419,socks5
200.229.65.172,3128,http
45.74.31.42,7329,socks5
45.74.31.22,6156,socks5
138.124.85.83,1081,socks5
45.74.31.42,4498,socks5
178.159.124.54,65056,http
45.74.31.23,6368,socks5
45.74.31.22,6432,socks5
171.221.240.100,10800,socks4
45.74.31.42,10191,socks5
45.74.31.23,17419,socks5
45.74.31.23,17725,socks5
45.74.31.42,8774,socks5
45.74.31.40,14879,socks5
45.74.31.42,6000,socks5
45.74.31.42,9964,socks5
45.74.31.22,14179,socks5
45.74.31.23,10378,socks5
45.74.31.23,5411,socks5
72.56.106.48,1080,socks5
45.74.31.42,4331,socks5
45.74.31.40,5302,socks5
45.74.31.42,8933,socks5
45.74.31.42,9107,socks5
45.74.31.23,7242,socks5
200.229.76.160,3128,http
45.74.31.22,17087,socks5
45.74.31.42,4442,socks5
196.75.189.67,1001,http
45.74.31.42,12765,socks5
45.74.31.42,29372,socks5
145.220.227.3,8080,http
45.74.31.22,14665,socks5
196.75.157.254,1001,http
45.74.31.22,15567,socks5
45.74.31.23,4924,socks5
45.74.31.22,4863,socks5
187.72.72.209,5151,http
45.74.31.23,7140,socks5
145.220.227.6,9050,http
45.74.31.42,4511,socks5
93.187.25.12,58080,http
45.74.31.23,5120,socks5
45.74.31.42,7978,socks5
87.229.14.66,8080,http
45.74.31.22,10479,socks5
45.74.31.23,6209,socks5
91.107.122.209,1080,socks5
45.74.31.40,5038,socks5
45.74.31.40,4185,socks5
45.74.31.42,10553,socks5
196.75.159.71,1001,http
45.74.31.22,4593,socks5
79.106.231.17,8080,http
179.255.188.140,1080,socks5
45.74.31.42,6998,socks5
45.74.31.42,4225,socks5
181.74.82.91,999,http
45.74.31.23,4994,socks5
45.74.31.40,14692,socks5
27.124.12.186,1080,socks5
45.74.31.42,6212,socks5
45.74.31.42,4783,socks5
180.191.120.247,5050,http
186.96.178.99,8081,http
45.74.31.42,9599,socks5
45.74.31.40,11362,socks5
45.74.31.23,5131,socks5
45.74.31.22,13513,socks5
45.74.31.42,4678,socks5
45.74.31.23,15864,socks5
49.151.184.88,8082,http
45.151.102.248,10808,http
45.74.31.23,4829,socks5
45.74.31.22,5068,socks5
45.74.31.23,6861,socks5
45.74.31.22,6606,socks5
45.74.31.40,4347,socks5
45.74.31.42,5880,socks5
145.220.227.2,9050,http
45.74.31.42,7952,socks5
45.74.31.23,9987,socks5
45.74.31.22,7492,socks5
190.114.246.105,999,http
45.74.31.42,7624,socks5
45.74.31.22,5025,socks5
217.25.229.244,2080,socks5
196.75.155.203,1001,http
116.204.166.39,8080,http
45.74.31.23,7588,socks5
196.75.153.56,1001,http
109.75.42.82,3629,socks4
88.87.79.18,3629,socks4
45.74.31.42,10889,socks5
45.74.31.23,17417,socks5
45.74.31.23,4875,socks5
45.74.31.40,5944,socks5
49.147.125.164,5050,http
45.74.31.42,8050,socks5
174.138.165.211,30190,http
83.69.80.63,1080,socks5
45.74.31.40,26412,socks5
45.74.31.22,13524,socks5
196.75.166.252,1001,http
45.74.31.42,10098,socks5
45.74.31.40,21575,socks5
45.74.31.42,23874,socks5
80.78.78.106,65530,socks4
45.74.31.42,8868,socks5
45.74.31.23,7237,socks5
45.74.31.42,8989,socks5
45.74.31.42,13301,socks5
84.52.125.113,8082,http
45.74.31.40,4769,socks5
93.93.61.153,1080,socks4
91.223.52.141,5678,socks4
45.74.31.23,12947,socks5
187.148.158.75,8080,http
103.142.114.22,8080,http
45.74.31.22,6625,socks5
145.220.227.1,3128,http
83.234.137.154,1080,socks5
45.74.31.22,9342,socks5
198.145.118.103,8080,http
45.74.31.23,7287,socks5
45.74.31.23,4856,socks5
45.74.31.22,12980,socks5
45.74.31.42,9244,socks5
45.74.31.22,6140,socks5
45.74.31.23,5616,socks5
193.168.198.240,1080,socks5
45.74.31.22,4342,socks5
180.191.235.172,8080,http
174.138.161.188,33826,socks5
45.74.31.23,4868,socks5
45.74.31.42,8554,socks5
45.74.31.22,4867,socks5
45.74.31.22,5904,socks5
45.74.31.23,17391,socks5
89.43.133.201,8080,http
45.74.31.42,4425,socks5
131.153.163.86,20361,http
45.74.31.42,8632,socks5
45.74.31.23,5717,socks5
45.74.31.23,5391,socks5
45.74.31.42,6307,socks5
45.74.31.23,4430,socks5
174.138.161.188,38207,http
31.76.42.91,3128,http
45.74.31.22,13841,socks5
45.74.31.23,4968,socks5
174.138.162.37,29852,http
45.74.31.42,5417,socks5
45.74.31.42,8078,socks5
36.89.56.169,8080,http
45.74.31.23,4923,socks5
45.74.31.42,8781,socks5
45.74.31.42,8655,socks5
45.74.31.40,12227,socks5
45.74.31.23,9982,socks5
45.74.31.23,5113,socks5
45.74.31.40,11387,socks5
160.20.36.109,80,socks4
45.74.31.23,10409,socks5
45.74.31.22,48264,socks5
45.74.31.22,4082,socks5
89.43.134.35,8080,http
45.74.31.23,5735,socks5
45.74.31.22,8750,socks5
180.195.87.93,8081,http
45.74.31.42,9246,socks5
45.74.31.23,4555,socks5
171.4.54.40,8080,http
45.74.31.22,9145,socks5
212.175.50.76,8085,http
45.74.31.40,5077,socks5
45.74.31.23,11086,socks5
45.74.31.23,7202,socks5
45.74.31.40,5036,socks5
203.143.19.137,5050,http
45.74.31.40,9976,socks5
45.74.31.23,12281,socks5
196.75.166.158,1001,http
45.74.31.22,16873,socks5
45.74.31.22,4856,socks5
131.153.163.86,22784,http
45.74.31.22,13441,socks5
45.74.31.23,5469,socks5
45.74.31.42,31320,socks5
45.74.31.42,20876,socks5
45.74.31.42,9936,socks5
43.99.60.244,8089,http
45.74.31.40,5023,socks5
45.74.31.42,8714,socks5
45.74.31.23,10967,socks5
45.74.31.23,14029,socks5
45.74.31.23,16676,socks5
45.74.31.42,28409,socks5
45.74.31.40,13481,socks5
45.74.31.42,4726,socks5
45.74.31.22,4705,socks5
45.74.31.23,12357,socks5
45.74.31.22,15523,socks5
8.219.97.248,80,http
45.74.31.23,6387,socks5
45.74.31.40,14950,socks5
45.74.31.22,8977,socks5
45.74.31.42,6641,socks5
45.74.31.22,6162,socks5
45.74.31.22,15398,socks5
45.74.31.23,4562,socks5
186.246.14.108,9151,socks5
45.74.31.23,13639,socks5
45.74.31.23,16653,socks5
45.74.31.22,5857,socks5
101.32.60.93,1080,socks5
45.74.31.42,30088,socks5
45.74.31.22,9345,socks5
45.74.31.22,6806,socks5
45.74.31.23,4660,socks5
45.74.31.23,7278,socks5
45.74.31.23,10836,socks5
45.74.31.23,7904,socks5
